id,created_at,userName,email,phoneNumber,address,currency,language,firstName,lastName,avatar,dateOfBirth,country,city,suffix
ce75f016-d047-4f8a-b5c3-e7e91d4c3308,2025-04-16T11:56:50.225733+00,ahmedhassan,ahmed.hassan@shop.com,201234567890,,,,,,,,,,20
b29b9ab9-8c17-4d7b-b359-62b79abd8f6b,2025-04-16T11:56:56.217375+00,sarahbrown,sarah.brown@example.com,12025550123,,,,,,,,,,21
2fb3f202-5ad8-477d-b7b9-93a75f5d3696,2025-04-16T11:57:00.171477+00,mohamedali,mohamed.ali@shop.com,201345678901,,,,,,,,,,22
6c0cc6eb-3821-4c86-b732-fbb8acb90ce9,2025-04-16T11:57:05.743717+00,emilyjohnson,emily.johnson@example.com,447912345678,,,,,,,,,,23
b6d43341-b9d2-45b5-a19e-71af7b0af1f1,2025-04-16T11:57:10.645220+00,omarkhalid,omar.khalid@shop.com,201456789012,,,,,,,,,,24
e88884ba-911f-446a-9722-fca07529f3c3,2025-04-01T10:00:00.123456+00,priyasharma,priya.sharma@example.com,919876543210,,,,,,,,,,25
68865361-86ca-4eb4-801b-c3ef9f603467,2025-04-01T12:15:00.123456+00,johnsmith,john.smith@example.com,12035550124,,,,,,,,,,26
959fc046-f9c4-478b-bc91-bb07ed8bd2ba,2025-04-02T09:30:00.123456+00,fatimaomar,fatima.omar@shop.com,201567890123,,,,,,,,,,27
480775bd-ee1c-4618-ba1f-2929024d93f1,2025-04-02T14:45:00.123456+00,liamwilson,liam.wilson@example.com,447823456789,,,,,,,,,,28
a68a57a9-2a67-400c-8c85-ceac1639f738,2025-04-03T11:20:00.123456+00,ayamostafa,aya.mostafa@shop.com,201678901234,,,,,,,,,,29
68ab0e0c-90aa-42d5-ba37-cbf2fe08f748,2025-04-03T16:00:00.123456+00,sophiataylor,sophia.taylor@example.com,12045550125,,,,,,,,,,30
158791d4-c8d3-4236-b890-fcc99af08663,2025-04-04T08:50:00.123456+00,hassanibrahim,hassan.ibrahim@shop.com,201789012345,,,,,,,,,,31
d944d860-e8aa-4b7f-9459-72cf4353aa89,2025-04-04T13:25:00.123456+00,oliviamoore,olivia.moore@example.com,12055550126,,,,,,,,,,32
6557779c-120e-4696-a206-80ad37737a21,2025-04-05T10:10:00.123456+00,amnasalem,amna.salem@shop.com,971501234567,,,,,,,,,,33
1a7b6ed3-6ddf-4e04-910a-abb21a2e7762,2025-04-05T15:40:00.123456+00,jamesjackson,james.jackson@example.com,447934567890,,,,,,,,,,34
8cf5e661-3934-4eb0-a2d2-425fa5f27eef,2025-04-06T09:15:00.123456+00,nourhamed,nour.hamed@shop.com,201890123456,,,,,,,,,,35
